name,country,state,city,logo,rulesets,website,wftdaWebsite,tags,isDeleted,lat,lng
Granite State Roller Derby,us,,"Concord, NH, us",/img/leagues/WFTDA/granite-state-roller-derby.png,WFTDA,,https://wftda.com/wftda-leagues/granite-state-roller-derby/,[],FALSE,43.207178,-71.537476
Gray City Rebels,br,,"Sao Paolo, br",/img/leagues/WFTDA/gray-city-rebels.png,WFTDA,,https://wftda.com/wftda-leagues/gray-city-rebels/,[],FALSE,-23.5506507,-46.6333824
Green Mountain Roller Derby,us,,"Essex Junction, VT, us",/img/leagues/WFTDA/green-mountain-roller-derby.png,WFTDA,,https://wftda.com/wftda-leagues/green-mountain-roller-derby/,[],FALSE,44.4906817,-73.11136
Greensboro Roller Derby,us,,"Greensboro, NC, us",/img/leagues/WFTDA/greensboro.png,WFTDA,,https://wftda.com/wftda-leagues/greensboro-roller-derby/,[],FALSE,36.0726355,-79.7919754
Greenville Roller Derby,us,,"Greenville, SC, us",/img/leagues/WFTDA/Greenville-Roller-Derby.png,WFTDA,,https://wftda.com/wftda-leagues/greenville-roller-derby/,[],FALSE,34.851354,-82.3984882
Hogtown Roller Derby,ca,,"Toronto, ON, ca",/img/leagues/WFTDA/Hogtown-.png,WFTDA,,https://wftda.com/wftda-leagues/hogtown-roller-derby/,[],FALSE,34.851354,-82.3984882
Hammer City Roller Derby,ca,,"Hamilton, ON, ca",/img/leagues/WFTDA/hammer-city.png,WFTDA,,https://wftda.com/wftda-leagues/hammer-city-roller-derby/,[],FALSE,43.2560802,-79.8728583
Happy Valley Derby Darlins,us,,"Utah County, UT, us",/img/leagues/WFTDA/happy-valley-derby-darlins.png,WFTDA,,https://wftda.com/wftda-leagues/happy-valley-derby-darlins/,[],FALSE,40.177058,-111.6910719
Harbor City Roller Derby,us,,"Duluth, MN, us",/img/leagues/WFTDA/Harbor-City-Roller-Derby.png,WFTDA,,https://wftda.com/wftda-leagues/harbor-city-roller-derby/,[],FALSE,46.7729322,-92.1251218
Hard Knox Roller Derby,us,,"Knoxville, TN, us",/img/leagues/WFTDA/Hard-Knox-Roller-Derby.png,WFTDA,,https://wftda.com/wftda-leagues/hard-knox-roller-derby/,[],FALSE,35.9603948,-83.9210261
Harpies Roller Derby Milano,it,,"Milan, it",/img/leagues/WFTDA/harpies-roller-derby-milano.png,WFTDA,,https://wftda.com/wftda-leagues/harpies-roller-derby-milano/,[],FALSE,45.4641943,9.1896346
Harrisburg Area Roller Derby,us,,"Enola, PA, us",/img/leagues/WFTDA/harrisburg-area-roller-derby.png,WFTDA,,https://wftda.com/wftda-leagues/harrisburg-area-roller-derby/,[],FALSE,40.2853013,-76.9358463
Hartford Area Roller Derby,us,,"Manchester, CT, us",/img/leagues/WFTDA/hartford-area-roller-derby.png,WFTDA,,https://wftda.com/wftda-leagues/hartford-area-roller-derby/,[],FALSE,37.2734688,-80.0453174
Hellions of Troy Roller Derby,us,,"Saratoga Springs, NY, us",/img/leagues/WFTDA/hellions-of-troy-roller-derby.png,WFTDA,,https://wftda.com/wftda-leagues/hellions-of-troy-roller-derby/,[],FALSE,43.0821793,-73.7853915
Ladies of HellTown,br,,"Sao Paulo, SP, br",/img/leagues/WFTDA/ladies-of-helltown.png,WFTDA,,https://wftda.com/wftda-leagues/ladies-of-helltown/,[],FALSE,-23.5506507,-46.6333824
Helsinki Roller Derby,fi,,"Helsinki, fi",/img/leagues/WFTDA/Helsinki.png,WFTDA,,https://wftda.com/wftda-leagues/helsinki-roller-derby/,[],FALSE,60.1674881,24.9427473
Hudson Valley Horrors Roller Derby,us,,"Kingston, NY, us",/img/leagues/WFTDA/hudson-valley-horrors-roller-derby.png,WFTDA,,https://wftda.com/wftda-leagues/hudson-valley-horrors-roller-derby/,[],FALSE,41.9287812,-74.0023825
Hulls Angels Roller Derby,gb,,"Hull, England, gb",/img/leagues/WFTDA/hulls-angels.png,WFTDA,,https://wftda.com/wftda-leagues/hulls-angels-roller-derby/,[],FALSE,53.7623862,-0.3301214
